ID,Severity,Event Type,Event Description,Generation Time,Status,Event Code,Suggestion
"1872","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:36:42","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1871","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:35:52","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1870","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:34:16","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1869","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:33:55","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1868","Normal","System","The host was restarted by command.","2026-04-17 09:33:50","Asserted","0x2C000011",""
"1867","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:20:37","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1866","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:19:44","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1865","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:18:11","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1864","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:17:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1863","Normal","System","The host was restarted by command.","2026-04-17 09:17:43","Asserted","0x2C000011",""
"1862","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:10:16","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1861","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:09:22","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1860","Minor","Disk","The disk Disk3 state is abnormal (SN:034BBTN0Q3019379).","2026-04-17 09:08:24","Deasserted","0x02000028","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"1859","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:07:46","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1858","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:07:26","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1857","Minor","Disk","The disk Disk3 state is abnormal (SN:034BBTN0Q3019379).","2026-04-17 09:07:25","Asserted","0x02000027","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"1856","Normal","System","The host was restarted by command.","2026-04-17 09:07:20","Asserted","0x2C000011",""
"1855","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:52:49","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1854","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:51:56","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1853","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:50:22","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1852","Normal","System","The host was restarted due to unrecognized reason.","2026-04-17 08:49:55","Asserted","0x2C00000F",""
"1851","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:49:52","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1850","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:43:00","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1849","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:42:06","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1848","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:40:32","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1847","Normal","System","The host was restarted due to unrecognized reason.","2026-04-17 08:40:05","Asserted","0x2C00000F",""
"1846","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:40:02","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1845","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:33:58","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1844","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:33:07","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1843","Minor","Disk","The disk Disk3 state is abnormal (SN:034BBTN0Q3019379).","2026-04-17 08:32:07","Deasserted","0x02000028","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"1842","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:31:29","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1841","Minor","Disk","The disk Disk3 state is abnormal (SN:034BBTN0Q3019379).","2026-04-17 08:31:10","Asserted","0x02000027","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"1840","Normal","System","The host was restarted due to unrecognized reason.","2026-04-17 08:31:06","Asserted","0x2C00000F",""
"1839","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:30:59","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1838","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:16:51","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1837","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:15:54","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1836","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:06:31","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1835","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:06:11","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1834","Normal","System","The host was restarted due to unrecognized reason.","2026-04-17 08:06:05","Asserted","0x2C00000F",""
"1833","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:01:44","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1832","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 08:01:25","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1831","Normal","System","The host was restarted by command.","2026-04-17 08:01:20","Asserted","0x2C000011",""
"1830","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 07:48:55","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1829","Major","PSU","Server power failure occurred at 2026-04-17 07:45:11 UTC, The power has been already restored.","2026-04-17 07:48:12","Asserted","0x0300001F","Check the equipment room power supply."
"1828","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 07:48:01","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1827","Normal","NIC","The NIC 1 is replaced from SN(102559619889) to SN(1024B9848599) (SN:1024B9848599).","2026-04-17 07:45:31","Asserted","0x0D000015",""
"1826","Normal","System","ACPI is in the working state.","2026-04-17 07:45:28","Asserted","0x2C000009",""
"1825","Normal","System","The host is restarted after being powered on (Power strategy is 'Turn On').","2026-04-17 07:45:26","Asserted","0x2C000017",""
"1824","Normal","BMC","openUBMC is restarted after AC power supply is restored.","2026-04-17 07:44:48","Asserted","0x1A00000D",""
"1823","Critical","PSU","The AC/DC input of PSU 2 is lost or out-of-range (SN:1P108734CC0001534    , BN:CRPS2700D2    ).","2026-04-17 07:42:08","Asserted","0x0300000D","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1822","Critical","PSU","The AC/DC input of PSU 1 is lost or out-of-range (SN:1P108734CC0001539    , BN:CRPS2700D2    ).","2026-04-17 07:42:07","Asserted","0x0300000D","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1821","Major","PSU","Server power failure occurred at 2026-04-17 07:31:53 UTC, The power has been already restored.","2026-04-17 07:34:54","Asserted","0x0300001F","Check the equipment room power supply."
"1820","Normal","System","The host is restarted after being powered on (Power strategy is 'Turn On').","2026-04-17 07:32:28","Asserted","0x2C000017",""
"1819","Normal","System","ACPI is in the working state.","2026-04-17 07:32:25","Asserted","0x2C000009",""
"1818","Normal","BMC","openUBMC is restarted after AC power supply is restored.","2026-04-17 07:31:51","Asserted","0x1A00000D",""
"1817","Critical","PSU","The AC/DC input of PSU 6 is lost or out-of-range (SN:1P028734CC0000100    , BN:CRPS2700D2    ).","2026-04-17 07:28:40","Asserted","0x0300000D","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1816","Major","Port","Abnormal Rx signal of optical module is detected on Port 2 on NIC 1 (SF223D-H).","2026-04-17 07:28:00","Asserted","0x29000013","Replace the optical module."
"1815","Major","Port","Abnormal Rx signal of optical module is detected on Port 1 on NIC 1 (SF223D-H).","2026-04-17 07:16:23","Asserted","0x29000013","Replace the optical module."
"1814","Normal","System","The host was restarted due to unrecognized reason.","2026-04-17 07:00:33","Asserted","0x2C00000F",""
"1813","Major","PSU","Server power failure occurred at 2026-04-17 06:57:22 UTC, The power has been already restored.","2026-04-17 07:00:32","Asserted","0x0300001F","Check the equipment room power supply."
"1812","Normal","NIC","The NIC 1 is replaced from SN(1024B9848599) to SN(102559619889) (SN:102559619889).","2026-04-17 06:58:30","Asserted","0x0D000015",""
"1811","Normal","System","ACPI is in the working state.","2026-04-17 06:58:12","Asserted","0x2C000009",""
"1810","Normal","System","The host is restarted after being powered on (Power strategy is 'Turn On').","2026-04-17 06:57:58","Asserted","0x2C000017",""
"1809","Normal","BMC","openUBMC is restarted after AC power supply is restored.","2026-04-17 06:57:32","Asserted","0x1A00000D",""
"1808","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 06:31:00","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1807","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 02:50:30","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1806","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-16 06:38:49","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1805","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-16 06:37:55","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1804","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-16 06:36:18","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1803","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-16 06:35:58","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1802","Normal","System","The host was restarted by command.","2026-04-16 06:35:53","Asserted","0x2C000011",""
"1801","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-16 06:24:32","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1800","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-16 06:23:39","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1799","Major","PSU","Server power failure occurred at 2026-04-16 06:20:35 UTC, The power has been already restored.","2026-04-16 06:23:36","Asserted","0x0300001F","Check the equipment room power supply."
"1798","Normal","System","The host is restarted after being powered on (Power strategy is 'Turn On').","2026-04-16 06:20:41","Asserted","0x2C000017",""
"1797","Normal","System","ACPI is in the working state.","2026-04-16 06:20:33","Asserted","0x2C000009",""
"1796","Normal","BMC","openUBMC is restarted after AC power supply is restored.","2026-04-16 06:20:03","Asserted","0x1A00000D",""
"1795","Normal","NIC","The NIC 1 is replaced from SN(D924C0415161) to SN(1024B9848599) (SN:1024B9848599).","2026-04-16 06:12:23","Deasserted","0x0D000016",""
"1794","Normal","BMC","The openUBMC is reset, with the cause code of 0x2.","2026-04-16 06:11:42","Asserted","0x1A00006F",""
"1793","Normal","BMC","openUBMC is reset and started.","2026-04-16 06:11:06","Asserted","0x1A000021",""
"1792","Normal","NIC","The NIC 1 is replaced from SN(D924C0415161) to SN(1024B9848599) (SN:1024B9848599).","2026-04-16 02:04:56","Asserted","0x0D000015",""
"1791","Major","System","The power FLEXIO1_POWER failure results abnormal power-off.","2026-04-16 02:04:51","Asserted","0x2C000007","1. Check whether the power supply meets server operation requirements.2. Check for power cables that were disconnected or improperly connected to the PSUs before the alarm was generated.3. Remove and reconnect power cables or remove and reinstall the board in the chassis.4. Replace the PSU.5. Replace the mainboard."
"1790","Critical","PSU","The AC/DC input of PSU 2 is lost or out-of-range (SN:1P108734CC0001534    , BN:CRPS2700D2    ).","2026-04-16 00:29:15","Deasserted","0x0300000E","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1789","Critical","PSU","The AC/DC input of PSU 2 is lost or out-of-range (SN:1P108734CC0001534    , BN:CRPS2700D2    ).","2026-04-16 00:29:09","Asserted","0x0300000D","1. Check whether the power cables are disconnected or loose.2. Replace the power cables.3. Replace the PSU."
"1788","Major","CPU Board","Communication between CPU Board1 CPLD0 and CPLD1 is abnormal.","2026-04-15 12:09:27","Asserted","0x24000025","1. Check whether the cables between boards are properly connected.2. Replace the inter-board cables.3. Exchange the boards betweem which communication is abnormal. Then, check whether the fault is rectified.4. Collect related information and contact technical support engineers."
"1787","Normal","BMC","The openUBMC is reset, with the cause code of 0x2.","2026-04-15 09:19:51","Asserted","0x1A00006F",""
"1786","Normal","BMC","openUBMC is reset and started.","2026-04-15 09:19:23","Asserted","0x1A000021",""
"1785","Normal","BMC","The openUBMC is reset, with the cause code of 0x2.","2026-04-15 08:43:01","Asserted","0x1A00006F",""
"1784","Normal","BMC","openUBMC is reset and started.","2026-04-15 08:42:37","Asserted","0x1A000021",""
"1783","Normal","BMC","The openUBMC is reset, with the cause code of 0x2.","2026-04-15 08:14:58","Asserted","0x1A00006F",""
"1782","Normal","BMC","openUBMC is reset and started.","2026-04-15 08:14:52","Asserted","0x1A000021",""
"1781","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:47:29","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1780","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:46:35","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1779","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:45:01","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1778","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:44:40","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1777","Normal","System","The host was restarted by command.","2026-04-13 03:44:35","Asserted","0x2C000011",""
"1776","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:41:22","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1775","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:41:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1774","Normal","System","The host was restarted by command.","2026-04-13 03:40:57","Asserted","0x2C000011",""
"1773","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:35:24","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1772","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-13 03:35:04","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1771","Normal","System","The host was restarted by command.","2026-04-13 03:34:56","Asserted","0x2C000011",""
"1770","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-10 03:44:15","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1769","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-10 03:43:24","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1768","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-10 03:41:23","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1767","Normal","System","The host was restarted by command.","2026-04-10 03:40:45","Asserted","0x2C000011",""
"1766","Normal","System","ACPI is in the working state.","2026-04-10 03:40:41","Asserted","0x2C000009",""
"1765","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-10 03:09:31","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1764","Normal","System","ACPI is in the soft-off state.","2026-04-10 03:09:25","Asserted","0x2C00000B",""
"1763","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-09 05:51:47","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1762","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-09 05:51:27","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1761","Normal","System","The host was restarted by command.","2026-04-09 05:51:21","Asserted","0x2C000011",""
"1760","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-09 05:51:10","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1759","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-09 05:50:17","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
